,file,start_time,end_time,Cheer,A,Check,B,K,C,Chits,D,J,G,E
15,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,45.0,48.0,False,0,True,False,False,0,False,0,False,False,0
16,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,48.0,51.0,False,0,True,False,False,0,False,0,False,False,0
17,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,51.0,54.0,False,0,True,False,False,0,False,0,False,False,0
18,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,54.0,57.0,False,0,True,False,False,0,False,0,False,False,0
19,/mnt/class_data/Shelby/One_Minute_Audio/SL17a_Trial_1_trim.WAV,57.0,60.0,False,0,True,False,False,0,False,0,False,False,0
60,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,0,False,False,0
61,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,3.0,6.0,False,0,True,False,False,0,False,0,False,False,0
62,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,6.0,9.0,False,0,True,False,False,0,False,0,False,False,0
63,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,9.0,12.0,True,0,False,False,False,0,False,0,False,False,0
64,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,12.0,15.0,True,0,False,False,False,0,False,0,False,False,0
65,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,0,False,False,0
66,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,18.0,21.0,True,0,True,False,False,0,False,0,False,False,0
67,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,21.0,24.0,False,0,True,False,False,0,False,0,False,False,0
68,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,24.0,27.0,False,0,False,False,False,0,False,0,False,False,0
69,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,27.0,30.0,False,0,True,False,False,0,False,0,False,False,0
70,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,30.0,33.0,True,0,True,False,False,0,False,0,False,False,0
71,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,33.0,36.0,False,0,False,False,False,0,False,0,False,False,0
72,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,36.0,39.0,False,0,True,False,False,0,False,0,False,False,0
73,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,39.0,42.0,True,0,True,False,False,0,False,0,False,False,0
74,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,42.0,45.0,False,0,True,False,False,0,False,0,False,False,0
75,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,45.0,48.0,False,0,True,False,False,0,False,0,False,False,0
76,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,48.0,51.0,False,0,True,False,False,0,False,0,False,False,0
77,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,51.0,54.0,False,0,True,False,False,0,False,0,False,False,0
78,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,54.0,57.0,True,0,True,False,False,0,False,0,False,False,0
79,/mnt/class_data/Shelby/One_Minute_Audio/SL52_Trial_3_trim.WAV,57.0,60.0,False,0,True,False,False,0,False,0,False,False,0
80,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,0,False,False,0
81,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,3.0,6.0,False,0,False,False,False,0,False,0,False,False,0
82,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,6.0,9.0,False,0,False,False,False,0,True,0,False,False,0
83,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,9.0,12.0,False,0,False,False,False,0,False,0,False,False,0
84,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,1
85,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,0,False,False,0
86,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,18.0,21.0,False,0,False,False,False,0,False,0,False,False,1
87,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,21.0,24.0,False,0,False,False,False,0,False,0,False,False,0
88,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,24.0,27.0,False,0,False,False,False,0,False,0,False,False,0
89,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,27.0,30.0,False,0,False,False,False,0,False,0,False,False,1
90,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,30.0,33.0,False,0,False,False,False,0,False,0,False,False,0
91,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,33.0,36.0,False,0,True,False,False,0,False,0,False,False,0
92,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,36.0,39.0,False,0,False,False,False,0,False,0,False,False,0
93,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,39.0,42.0,False,0,True,False,False,0,False,0,False,False,0
94,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,42.0,45.0,False,0,False,False,False,0,False,0,False,False,0
95,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,45.0,48.0,False,0,True,False,False,0,False,0,False,False,0
96,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,48.0,51.0,False,0,True,False,False,0,False,0,False,False,0
97,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,51.0,54.0,False,0,True,False,False,0,False,0,False,False,0
98,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,54.0,57.0,False,0,False,False,False,0,False,0,False,False,0
99,/mnt/class_data/Shelby/One_Minute_Audio/SL13_Trial_2_trim.WAV,57.0,60.0,False,0,True,False,False,0,False,0,False,False,0
100,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,0.0,3.0,True,0,True,False,False,0,False,0,False,False,0
101,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,3.0,6.0,True,0,False,False,False,0,False,0,False,False,0
102,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,6.0,9.0,False,0,True,False,False,0,False,0,False,False,0
103,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,9.0,12.0,True,0,True,False,False,0,False,0,False,False,0
104,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,0
105,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,15.0,18.0,True,0,False,False,False,0,False,0,False,False,0
106,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,18.0,21.0,False,0,True,False,False,0,False,0,False,False,0
107,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,21.0,24.0,True,0,False,False,False,0,False,0,False,False,0
108,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,24.0,27.0,False,0,True,False,False,0,False,0,False,False,0
109,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,27.0,30.0,True,0,True,False,False,0,False,0,False,False,0
110,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,30.0,33.0,False,0,True,False,False,0,False,0,False,False,0
111,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,33.0,36.0,False,0,True,False,False,0,False,0,False,False,0
112,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,36.0,39.0,True,0,False,False,False,0,False,0,False,False,0
113,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,39.0,42.0,False,0,False,False,False,0,False,0,False,False,0
114,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,42.0,45.0,True,0,True,False,False,0,False,0,False,False,0
115,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,45.0,48.0,True,0,True,False,False,0,False,0,False,False,0
116,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,48.0,51.0,True,0,True,False,False,0,False,0,False,False,0
117,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,51.0,54.0,False,0,True,False,False,0,False,0,False,False,0
118,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,54.0,57.0,True,0,True,False,False,0,False,0,False,False,0
119,/mnt/class_data/Shelby/One_Minute_Audio/SL36_Trial_1_trim.WAV,57.0,60.0,False,0,True,False,False,0,False,0,False,False,0
160,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,0.0,3.0,True,0,False,False,False,0,False,0,False,False,0
161,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,3.0,6.0,True,0,False,False,False,0,False,0,False,False,0
162,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,6.0,9.0,True,0,False,False,False,0,False,0,False,False,0
163,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,9.0,12.0,True,0,False,False,False,0,False,0,False,False,0
164,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,12.0,15.0,True,0,True,False,False,0,False,0,False,False,0
165,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,15.0,18.0,True,0,False,False,False,0,False,0,False,False,0
166,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,18.0,21.0,True,0,True,False,False,0,False,0,False,False,0
167,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,21.0,24.0,False,0,True,False,False,0,False,0,False,False,0
168,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,24.0,27.0,False,0,True,False,False,0,False,0,False,False,0
169,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,27.0,30.0,True,0,True,False,False,0,False,0,False,False,0
170,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,30.0,33.0,True,0,True,False,False,0,False,0,False,False,0
171,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,33.0,36.0,True,0,False,False,False,0,False,0,False,False,0
172,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,36.0,39.0,True,0,False,False,False,0,False,0,False,False,0
173,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,39.0,42.0,True,0,True,False,False,0,False,0,False,False,0
174,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,42.0,45.0,True,0,True,False,False,0,False,0,False,False,0
175,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,45.0,48.0,True,0,True,False,False,0,False,0,False,False,0
176,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,48.0,51.0,True,0,True,False,False,0,False,0,False,False,0
177,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,51.0,54.0,True,0,True,False,False,0,False,0,False,False,0
178,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,54.0,57.0,True,0,True,False,False,0,False,0,False,False,0
179,/mnt/class_data/Shelby/One_Minute_Audio/SL51_Trial_1_trim.WAV,57.0,60.0,True,0,False,False,False,0,False,0,False,False,0
180,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,0.0,3.0,False,0,True,False,False,0,False,0,False,False,0
181,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,3.0,6.0,False,0,True,False,False,0,False,0,False,False,0
182,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,6.0,9.0,False,0,True,False,False,0,False,0,False,False,0
183,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,9.0,12.0,False,0,True,False,False,0,False,0,False,False,0
184,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,12.0,15.0,False,0,True,False,False,0,False,0,False,False,0
185,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,15.0,18.0,False,0,True,False,False,0,False,0,False,False,0
186,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,18.0,21.0,False,0,True,False,False,0,False,0,False,False,0
187,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,21.0,24.0,True,0,False,False,False,0,False,0,False,False,0
188,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,24.0,27.0,False,0,True,False,False,0,True,0,False,False,0
189,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,27.0,30.0,False,0,True,False,False,0,True,0,False,False,0
190,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,30.0,33.0,False,0,True,False,False,0,False,0,False,False,0
191,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,33.0,36.0,False,0,True,False,False,0,False,0,False,False,0
192,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,36.0,39.0,False,0,True,False,False,0,False,0,False,False,0
193,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,39.0,42.0,False,0,False,False,False,0,True,0,False,False,0
194,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,42.0,45.0,False,0,True,False,False,0,False,0,False,False,0
195,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,45.0,48.0,False,0,True,False,False,0,False,0,False,False,0
196,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,48.0,51.0,False,0,True,False,False,0,True,0,False,False,0
197,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,51.0,54.0,False,0,False,False,False,0,False,0,False,False,0
198,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,54.0,57.0,True,0,True,False,False,0,False,0,False,False,0
199,/mnt/class_data/Shelby/One_Minute_Audio/AZ08_Trial_3_trim.WAV,57.0,60.0,False,0,True,False,False,0,True,0,False,False,0
200,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,0.0,3.0,True,1,False,False,False,0,False,0,False,False,0
201,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,3.0,6.0,True,0,False,False,False,0,False,0,False,False,0
202,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,6.0,9.0,True,0,False,False,False,0,False,0,False,False,0
203,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,9.0,12.0,True,0,False,False,False,0,False,0,False,False,0
204,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,12.0,15.0,True,0,False,False,False,0,False,0,False,False,0
205,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,15.0,18.0,True,0,False,False,False,0,False,0,False,False,0
206,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,18.0,21.0,True,0,False,False,False,0,False,0,False,False,0
207,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,21.0,24.0,True,0,False,False,False,0,False,0,False,False,0
208,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,24.0,27.0,True,0,False,False,False,0,False,0,False,False,0
209,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,27.0,30.0,True,0,False,False,False,0,False,0,False,False,0
210,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,30.0,33.0,True,0,False,False,False,0,False,0,False,False,0
211,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,33.0,36.0,True,1,False,False,False,0,False,0,False,False,0
212,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,36.0,39.0,False,1,False,False,False,0,False,0,False,False,0
213,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,39.0,42.0,True,0,False,False,False,0,False,0,False,False,0
214,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,42.0,45.0,True,1,False,False,False,0,False,0,False,False,0
215,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,45.0,48.0,True,1,False,False,False,0,False,0,False,False,0
216,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,48.0,51.0,False,1,False,False,False,0,False,0,False,False,0
217,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,51.0,54.0,False,0,False,False,False,0,False,0,False,False,0
218,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,54.0,57.0,False,1,False,False,False,0,False,0,False,False,0
219,/mnt/class_data/Shelby/One_Minute_Audio/SL12_Trial_2_trim.WAV,57.0,60.0,False,1,False,False,False,0,False,0,False,False,0
220,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,0,False,False,0
221,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,3.0,6.0,False,0,False,False,False,0,False,0,False,False,0
222,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,6.0,9.0,False,0,False,False,False,0,False,0,False,False,0
223,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,9.0,12.0,False,0,False,False,False,0,False,0,False,False,0
224,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,0
225,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,0,False,False,0
226,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,18.0,21.0,False,0,False,False,False,0,False,0,False,False,0
227,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,21.0,24.0,False,0,False,False,False,0,False,0,False,False,0
228,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,24.0,27.0,False,0,False,False,False,0,False,0,False,False,0
229,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,27.0,30.0,False,0,False,False,False,0,False,0,False,False,0
230,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,30.0,33.0,False,0,False,False,False,0,False,0,False,False,0
231,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,33.0,36.0,False,0,False,False,False,0,False,0,False,False,0
232,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,36.0,39.0,False,0,False,False,False,0,False,0,False,False,0
233,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,39.0,42.0,False,0,False,False,False,0,False,0,False,False,0
234,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,42.0,45.0,False,0,False,False,False,0,False,0,False,False,0
235,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,45.0,48.0,False,0,False,False,False,0,False,0,False,False,0
236,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,48.0,51.0,False,0,False,False,False,0,False,0,False,False,0
237,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,51.0,54.0,False,0,False,False,False,0,False,0,False,False,0
238,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,54.0,57.0,False,0,False,False,False,0,False,0,False,False,0
239,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_3_trim.WAV,57.0,60.0,False,0,False,False,False,0,False,0,False,False,0
240,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,0,False,False,0
241,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,3.0,6.0,False,0,False,False,False,0,False,0,False,False,0
242,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,6.0,9.0,False,0,False,False,False,0,False,0,False,False,0
243,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,9.0,12.0,False,0,False,False,False,0,False,0,False,False,0
244,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,1
245,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,0,False,False,1
246,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,18.0,21.0,False,0,False,False,False,0,False,0,False,False,1
247,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,21.0,24.0,False,0,False,False,False,0,True,0,False,False,0
248,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,24.0,27.0,False,0,False,False,False,0,True,0,False,False,0
249,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,27.0,30.0,False,0,False,False,False,0,True,0,False,False,0
250,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,30.0,33.0,False,0,False,False,False,0,False,0,False,False,0
251,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,33.0,36.0,False,0,False,False,False,0,False,0,False,False,0
252,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,36.0,39.0,False,0,True,False,False,0,False,0,False,False,0
253,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,39.0,42.0,False,0,True,False,False,0,False,0,False,False,0
254,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,42.0,45.0,True,0,True,False,False,0,False,0,False,False,0
255,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,45.0,48.0,True,0,False,False,False,0,False,0,False,False,0
256,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,48.0,51.0,True,0,False,False,False,0,False,0,False,False,0
257,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,51.0,54.0,True,0,True,False,False,0,True,0,False,False,0
258,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,54.0,57.0,True,0,False,False,False,0,False,0,False,False,0
259,/mnt/class_data/Shelby/One_Minute_Audio/SL16_Trial_2_trim.WAV,57.0,60.0,False,0,False,False,False,0,False,0,False,False,0
280,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,0.0,3.0,False,0,False,False,False,0,False,1,False,False,0
281,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,3.0,6.0,False,0,False,False,False,0,False,1,False,False,0
282,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,6.0,9.0,False,0,True,False,False,0,False,0,False,False,0
283,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,9.0,12.0,True,0,False,False,False,0,False,0,False,False,0
284,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,12.0,15.0,False,0,False,False,False,0,False,0,False,False,0
285,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,15.0,18.0,False,0,False,False,False,0,False,1,False,False,0
286,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,18.0,21.0,False,0,False,False,False,0,False,0,False,False,0
287,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,21.0,24.0,False,0,False,False,False,0,False,1,False,False,0
288,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,24.0,27.0,False,0,False,False,False,0,False,1,False,False,0
289,/mnt/class_data/Shelby/One_Minute_Audio/SL49_Trial_2_trim.WAV,27.0,30.0,False,0,False,False,False,0,False,1,False,False,0
