Selection,View,Channel,begin_time_s,end_time_s,low_freq_hz,high_freq_hz,delta_time_s,call_type,selection_fpath,file_id,channel_is_one,NestID,Site,Date,Time,Model,Stage,NestAge,NestlingAge,Trial,Weather,wav_fpath,wav_fname,has_wav,has_metadata
22,Spectrogram 1,1,9.629563759,9.920855493,4049.2,16660.8,0.2913,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
35,Spectrogram 1,1,10.77440804,10.89973123,1054.5,5778.6,0.1253,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
5,Spectrogram 1,1,11.80747803,12.56280427,3480.9,21709.9,0.7553,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
6,Spectrogram 1,1,13.42313102,14.07345675,3755.7,21343.5,0.6503,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
23,Spectrogram 1,1,15.01507454,15.40120545,3838.3,17335.7,0.3861,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
39,Spectrogram 1,1,16.19305815,16.29467155,2051.7,9972.2,0.1016,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
36,Spectrogram 1,1,16.36991989,16.48508174,1223.2,5820.7,0.1152,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
7,Spectrogram 1,1,16.77298667,17.48089332,3480.9,20885.5,0.7079,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
42,Spectrogram 1,1,17.8805737,18.02621957,1574.6,11451.3,0.1456,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
37,Spectrogram 1,1,18.23621926,18.3750909,927.9,12232.0,0.1389,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
8,Spectrogram 1,1,18.56138243,19.19477259,3664.1,21801.5,0.6334,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
61,Spectrogram 1,1,19.17106287,19.26251492,1908.5,9113.3,0.0915,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
24,Spectrogram 1,1,19.72316242,20.09235775,3754.0,15437.6,0.3692,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
43,Spectrogram 1,1,20.33284427,20.44800612,954.3,15125.2,0.1152,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
44,Spectrogram 1,1,20.81720145,20.98317,858.8,7777.3,0.166,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
45,Spectrogram 1,1,22.06365993,22.18220889,715.7,10878.7,0.1185,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
46,Spectrogram 1,1,22.20253157,22.3380161,1192.8,12214.7,0.1355,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
47,Spectrogram 1,1,23.5438284,23.71995828,763.4,7491.1,0.1761,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
48,Spectrogram 1,1,24.48544689,24.59722163,2051.7,10687.9,0.1118,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
49,Spectrogram 1,1,24.60738297,24.73948038,1860.8,11403.6,0.1321,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
50,Spectrogram 1,1,24.85464223,24.97996542,1002.0,5534.8,0.1253,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
9,Spectrogram 1,1,26.43981085,27.11384637,3389.3,20885.5,0.674,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
51,Spectrogram 1,1,26.96481538,27.05626744,906.6,5439.4,0.0915,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
52,Spectrogram 1,1,27.07997723,27.19513908,620.3,5630.2,0.1152,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
53,Spectrogram 1,1,27.2256231,27.34078495,668.0,5582.5,0.1152,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
25,Spectrogram 1,1,27.44578399,27.76755975,3500.9,16998.2,0.3218,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
54,Spectrogram 1,1,27.95385243,28.08933696,1240.6,10878.7,0.1355,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
55,Spectrogram 1,1,28.54321013,28.61433951,954.3,7777.3,0.0711,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
26,Spectrogram 1,1,29.11901791,29.44756789,3880.5,15775.0,0.3285,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
56,Spectrogram 1,1,30.48064056,30.62628643,1813.1,10640.2,0.1456,Check,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
10,Spectrogram 1,1,31.34096586,31.92016221,3755.7,22442.7,0.5792,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
27,Spectrogram 1,1,33.24113695,33.54597714,3838.3,16660.8,0.3048,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
28,Spectrogram 1,1,36.06937646,36.39792644,3838.3,17377.9,0.3285,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
11,Spectrogram 1,1,37.22777027,37.75615993,3664.1,22076.3,0.5284,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
29,Spectrogram 1,1,38.80955238,39.11777968,3964.9,16281.2,0.3082,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
12,Spectrogram 1,1,40.03907421,40.69956129,3389.3,21068.7,0.6605,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
13,Spectrogram 1,1,43.22634995,43.83603033,3389.3,22442.7,0.6097,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
30,Spectrogram 1,1,44.90974599,45.18071504,4007.0,16787.3,0.271,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
14,Spectrogram 1,1,46.42039769,47.08765898,3480.9,22809.2,0.6673,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
31,Spectrogram 1,1,48.00895455,48.40863391,3754.0,16871.7,0.3997,A,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
15,Spectrogram 1,1,50.57638899,51.37913481,3664.1,21343.5,0.8027,Cheer,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Selections\AZ02 Trial 1_trim.Table.1.selections.txt,AZ02_Trial_1_trim,True,AZ02,Sheep Center,5/13/2025,11:12:00,Cowbird,Nestling,12,2.0,1,clear,C:\Users\sllaw\OneDrive\Documents\OSU Postdoc\Data\Recordings\C4VE\Trimmed\AZ02 Trial 1_trim.WAV,AZ02 Trial 1_trim.WAV,True,True
